reach,STA,profile,hr,min,RtopW_ft,LtopW_ft
1,154000,2-Sep-08,8,20,,
1,154000,2-Sep-08,8,30,,
1,154000,2-Sep-08,8,40,,
1,154000,2-Sep-08,8,50,,
1,154000,2-Sep-08,9,0,,
1,154000,2-Sep-08,9,10,,
1,154000,2-Sep-08,9,20,,
1,154000,2-Sep-08,9,30,,
1,154000,2-Sep-08,9,40,,
1,154000,2-Sep-08,9,50,,
1,154000,2-Sep-08,10,0,,
1,154000,2-Sep-08,10,10,,
1,154000,2-Sep-08,10,20,,
1,154000,2-Sep-08,10,30,,
1,154000,2-Sep-08,10,40,,
1,154000,2-Sep-08,10,50,,
1,154000,2-Sep-08,11,0,,
1,154000,2-Sep-08,11,10,,
1,154000,2-Sep-08,11,20,,
1,154000,2-Sep-08,11,30,,
1,154000,2-Sep-08,11,40,,
1,154000,2-Sep-08,11,50,,
1,154000,2-Sep-08,12,0,,
1,154000,2-Sep-08,12,10,,
1,154000,2-Sep-08,12,20,,
1,154000,2-Sep-08,12,30,,
1,154000,2-Sep-08,12,40,,
1,154000,2-Sep-08,12,50,,
1,154000,2-Sep-08,13,0,,
1,154000,2-Sep-08,13,10,,
1,154000,2-Sep-08,13,20,,
1,154000,2-Sep-08,13,30,,
1,154000,2-Sep-08,13,40,,
1,154000,2-Sep-08,13,50,,
1,154000,2-Sep-08,14,0,,
1,154000,2-Sep-08,14,10,,
1,154000,2-Sep-08,14,20,,
1,154000,2-Sep-08,14,30,,
1,154000,2-Sep-08,14,40,,
1,154000,2-Sep-08,14,50,,
1,154000,2-Sep-08,15,0,,
1,154000,2-Sep-08,15,10,,
1,154000,2-Sep-08,15,20,,
1,154000,2-Sep-08,15,30,,
1,154000,2-Sep-08,15,40,,
1,154000,2-Sep-08,15,50,,
1,154000,2-Sep-08,16,0,,
1,154000,2-Sep-08,16,10,,
1,154000,2-Sep-08,16,20,,
1,154000,2-Sep-08,16,30,,
1,154000,2-Sep-08,16,40,,
1,154000,2-Sep-08,16,50,,
1,154000,2-Sep-08,17,0,,
1,154000,2-Sep-08,17,10,,
1,154000,2-Sep-08,17,20,,
1,154000,2-Sep-08,17,30,,
1,154000,2-Sep-08,17,40,,
1,154000,2-Sep-08,17,50,,
1,154000,2-Sep-08,18,0,,
1,154000,2-Sep-08,18,10,,
1,154000,2-Sep-08,18,20,,
1,154000,2-Sep-08,18,30,,
1,154000,2-Sep-08,18,40,,
1,154000,2-Sep-08,18,50,,
1,154000,2-Sep-08,19,0,,
1,154000,2-Sep-08,19,10,,
1,154000,2-Sep-08,19,20,,
1,154000,2-Sep-08,19,30,,
1,154000,2-Sep-08,19,40,,
1,154000,2-Sep-08,19,50,,
1,154000,2-Sep-08,20,0,,
1,154000,2-Sep-08,20,10,,
1,154000,2-Sep-08,20,20,,
1,154000,2-Sep-08,20,30,,
1,154000,2-Sep-08,20,40,,
1,154000,2-Sep-08,20,50,,
1,154000,2-Sep-08,21,0,,
1,154000,2-Sep-08,21,10,,
1,154000,2-Sep-08,21,20,,
1,154000,2-Sep-08,21,30,,
1,154000,2-Sep-08,21,40,,
1,154000,2-Sep-08,21,50,,
1,154000,2-Sep-08,22,0,,
1,154000,2-Sep-08,22,10,,
1,154000,2-Sep-08,22,20,,
1,154000,2-Sep-08,22,30,,
1,154000,2-Sep-08,22,40,,
1,154000,2-Sep-08,22,50,,
1,154000,2-Sep-08,23,0,,
1,154000,2-Sep-08,23,10,,
1,154000,2-Sep-08,23,20,,
1,154000,2-Sep-08,23,30,,
1,154000,2-Sep-08,23,40,,
1,154000,2-Sep-08,23,50,,
1,154000,3-Sep-08,0,0,,
,,,,,,
2,154000,1-Sep-08,0,0,,
2,154000,1-Sep-08,0,10,,
2,154000,1-Sep-08,0,20,,
2,154000,1-Sep-08,0,30,,
2,154000,1-Sep-08,0,40,,
2,154000,1-Sep-08,0,50,,
2,154000,1-Sep-08,1,0,65.05,65.05
2,154000,1-Sep-08,1,10,65.09,65.09
2,154000,1-Sep-08,1,20,65.13,65.13
2,154000,1-Sep-08,1,30,65.17,65.17
2,154000,1-Sep-08,1,40,65.22,65.22
2,154000,1-Sep-08,1,50,65.24,65.24
2,154000,1-Sep-08,2,0,65.23,65.23
2,154000,1-Sep-08,2,10,65.21,65.21
2,154000,1-Sep-08,2,20,65.18,65.18
2,154000,1-Sep-08,2,30,65.16,65.16
2,154000,1-Sep-08,2,40,65.15,65.15
2,154000,1-Sep-08,2,50,65.14,65.14
2,154000,1-Sep-08,3,0,65.13,65.13
2,154000,1-Sep-08,3,10,65.09,65.09
2,154000,1-Sep-08,3,20,65.02,65.02
2,154000,1-Sep-08,3,30,,
2,154000,1-Sep-08,3,40,,
2,154000,1-Sep-08,3,50,,
2,154000,1-Sep-08,4,0,,
2,154000,1-Sep-08,4,10,,
2,154000,1-Sep-08,4,20,,
2,154000,1-Sep-08,4,30,,
2,154000,1-Sep-08,4,40,,
2,154000,1-Sep-08,4,50,,
2,154000,1-Sep-08,5,0,,
2,154000,1-Sep-08,5,10,,
2,154000,1-Sep-08,5,20,,
2,154000,1-Sep-08,5,30,,
2,154000,1-Sep-08,5,40,,
2,154000,1-Sep-08,5,50,,
2,154000,1-Sep-08,6,0,,
2,154000,1-Sep-08,6,10,,
2,154000,1-Sep-08,6,20,,
2,154000,1-Sep-08,6,30,,
2,154000,1-Sep-08,6,40,,
2,154000,1-Sep-08,6,50,,
2,154000,1-Sep-08,7,0,,
2,154000,1-Sep-08,7,10,,
2,154000,1-Sep-08,7,20,,
2,154000,1-Sep-08,7,30,,
2,154000,1-Sep-08,7,40,,
2,154000,1-Sep-08,7,50,,
2,154000,1-Sep-08,8,0,,
2,154000,1-Sep-08,8,10,,
2,154000,1-Sep-08,8,20,,
2,154000,1-Sep-08,8,30,,
2,154000,1-Sep-08,8,40,,
2,154000,1-Sep-08,8,50,,
2,154000,1-Sep-08,9,0,,
2,154000,1-Sep-08,9,10,,
2,154000,1-Sep-08,9,20,,
2,154000,1-Sep-08,9,30,,
2,154000,1-Sep-08,9,40,,
2,154000,1-Sep-08,9,50,,
2,154000,1-Sep-08,10,0,,
2,154000,1-Sep-08,10,10,,
2,154000,1-Sep-08,10,20,,
2,154000,1-Sep-08,10,30,,
2,154000,1-Sep-08,10,40,,
2,154000,1-Sep-08,10,50,,
2,154000,1-Sep-08,11,0,,
2,154000,1-Sep-08,11,10,,
2,154000,1-Sep-08,11,20,,
2,154000,1-Sep-08,11,30,,
2,154000,1-Sep-08,11,40,,
2,154000,1-Sep-08,11,50,,
2,154000,1-Sep-08,12,0,,
2,154000,1-Sep-08,12,10,,
2,154000,1-Sep-08,12,20,,
2,154000,1-Sep-08,12,30,,
2,154000,1-Sep-08,12,40,,
2,154000,1-Sep-08,12,50,,
2,154000,1-Sep-08,13,0,,
2,154000,1-Sep-08,13,10,,
2,154000,1-Sep-08,13,20,,
2,154000,1-Sep-08,13,30,,
2,154000,1-Sep-08,13,40,,
2,154000,1-Sep-08,13,50,,
2,154000,1-Sep-08,14,0,,
2,154000,1-Sep-08,14,10,,
2,154000,1-Sep-08,14,20,,
2,154000,1-Sep-08,14,30,,
2,154000,1-Sep-08,14,40,,
2,154000,1-Sep-08,14,50,,
2,154000,1-Sep-08,15,0,,
2,154000,1-Sep-08,15,10,,
2,154000,1-Sep-08,15,20,,
2,154000,1-Sep-08,15,30,,
2,154000,1-Sep-08,15,40,,
2,154000,1-Sep-08,15,50,,
2,154000,1-Sep-08,16,0,,
2,154000,1-Sep-08,16,10,,
2,154000,1-Sep-08,16,20,,
2,154000,1-Sep-08,16,30,,
2,154000,1-Sep-08,16,40,,
2,154000,1-Sep-08,16,50,,
2,154000,1-Sep-08,17,0,,
2,154000,1-Sep-08,17,10,,
2,154000,1-Sep-08,17,20,,
2,154000,1-Sep-08,17,30,,
2,154000,1-Sep-08,17,40,,
2,154000,1-Sep-08,17,50,,
2,154000,1-Sep-08,18,0,,
2,154000,1-Sep-08,18,10,,
2,154000,1-Sep-08,18,20,,
2,154000,1-Sep-08,18,30,,
2,154000,1-Sep-08,18,40,,
2,154000,1-Sep-08,18,50,,
2,154000,1-Sep-08,19,0,,
2,154000,1-Sep-08,19,10,,
2,154000,1-Sep-08,19,20,,
2,154000,1-Sep-08,19,30,,
2,154000,1-Sep-08,19,40,,
2,154000,1-Sep-08,19,50,,
2,154000,1-Sep-08,20,0,,
2,154000,1-Sep-08,20,10,,
2,154000,1-Sep-08,20,20,,
2,154000,1-Sep-08,20,30,,
2,154000,1-Sep-08,20,40,,
2,154000,1-Sep-08,20,50,,
2,154000,1-Sep-08,21,0,,
2,154000,1-Sep-08,21,10,,
2,154000,1-Sep-08,21,20,,
2,154000,1-Sep-08,21,30,,
2,154000,1-Sep-08,21,40,,
2,154000,1-Sep-08,21,50,,
2,154000,1-Sep-08,22,0,,
2,154000,1-Sep-08,22,10,,
2,154000,1-Sep-08,22,20,,
2,154000,1-Sep-08,22,30,,
2,154000,1-Sep-08,22,40,,
2,154000,1-Sep-08,22,50,,
2,154000,1-Sep-08,23,0,,
2,154000,1-Sep-08,23,10,,
2,154000,1-Sep-08,23,20,,
2,154000,1-Sep-08,23,30,,
2,154000,1-Sep-08,23,40,,
2,154000,1-Sep-08,23,50,,
2,154000,2-Sep-08,0,0,,
2,154000,2-Sep-08,0,10,,
2,154000,2-Sep-08,0,20,,
2,154000,2-Sep-08,0,30,,
2,154000,2-Sep-08,0,40,,
2,154000,2-Sep-08,0,50,,
2,154000,2-Sep-08,1,0,,
2,154000,2-Sep-08,1,10,,
2,154000,2-Sep-08,1,20,,
2,154000,2-Sep-08,1,30,,
2,154000,2-Sep-08,1,40,,
2,154000,2-Sep-08,1,50,,
2,154000,2-Sep-08,2,0,,
2,154000,2-Sep-08,2,10,,
2,154000,2-Sep-08,2,20,,
2,154000,2-Sep-08,2,30,,
2,154000,2-Sep-08,2,40,,
2,154000,2-Sep-08,2,50,,
2,154000,2-Sep-08,3,0,,
2,154000,2-Sep-08,3,10,,
2,154000,2-Sep-08,3,20,,
2,154000,2-Sep-08,3,30,,
2,154000,2-Sep-08,3,40,,
2,154000,2-Sep-08,3,50,,
2,154000,2-Sep-08,4,0,,
2,154000,2-Sep-08,4,10,,
2,154000,2-Sep-08,4,20,,
2,154000,2-Sep-08,4,30,,
2,154000,2-Sep-08,4,40,,
2,154000,2-Sep-08,4,50,,
2,154000,2-Sep-08,5,0,,
2,154000,2-Sep-08,5,10,,
2,154000,2-Sep-08,5,20,,
2,154000,2-Sep-08,5,30,,
2,154000,2-Sep-08,5,40,,
2,154000,2-Sep-08,5,50,,
2,154000,2-Sep-08,6,0,,
2,154000,2-Sep-08,6,10,,
2,154000,2-Sep-08,6,20,,
2,154000,2-Sep-08,6,30,,
2,154000,2-Sep-08,6,40,,
2,154000,2-Sep-08,6,50,,
2,154000,2-Sep-08,7,0,,
2,154000,2-Sep-08,7,10,,
2,154000,2-Sep-08,7,20,,
2,154000,2-Sep-08,7,30,,
2,154000,2-Sep-08,7,40,,
2,154000,2-Sep-08,7,50,,
2,154000,2-Sep-08,8,0,,
2,154000,2-Sep-08,8,10,,
2,154000,2-Sep-08,8,20,,
2,154000,2-Sep-08,8,30,,
2,154000,2-Sep-08,8,40,,
2,154000,2-Sep-08,8,50,,
2,154000,2-Sep-08,9,0,,
2,154000,2-Sep-08,9,10,,
2,154000,2-Sep-08,9,20,,
2,154000,2-Sep-08,9,30,,
2,154000,2-Sep-08,9,40,,
2,154000,2-Sep-08,9,50,,
2,154000,2-Sep-08,10,0,,
2,154000,2-Sep-08,10,10,,
2,154000,2-Sep-08,10,20,,
2,154000,2-Sep-08,10,30,,
2,154000,2-Sep-08,10,40,,
2,154000,2-Sep-08,10,50,,
2,154000,2-Sep-08,11,0,,
2,154000,2-Sep-08,11,10,,
2,154000,2-Sep-08,11,20,,
2,154000,2-Sep-08,11,30,,
2,154000,2-Sep-08,11,40,,
2,154000,2-Sep-08,11,50,,
2,154000,2-Sep-08,12,0,,
2,154000,2-Sep-08,12,10,,
2,154000,2-Sep-08,12,20,,
2,154000,2-Sep-08,12,30,,
2,154000,2-Sep-08,12,40,,
2,154000,2-Sep-08,12,50,,
2,154000,2-Sep-08,13,0,,
2,154000,2-Sep-08,13,10,,
2,154000,2-Sep-08,13,20,,
2,154000,2-Sep-08,13,30,,
2,154000,2-Sep-08,13,40,,
2,154000,2-Sep-08,13,50,,
2,154000,2-Sep-08,14,0,,
2,154000,2-Sep-08,14,10,,
2,154000,2-Sep-08,14,20,,
2,154000,2-Sep-08,14,30,,
2,154000,2-Sep-08,14,40,,
2,154000,2-Sep-08,14,50,,
2,154000,2-Sep-08,15,0,,
2,154000,2-Sep-08,15,10,,
2,154000,2-Sep-08,15,20,,
2,154000,2-Sep-08,15,30,,
2,154000,2-Sep-08,15,40,,
2,154000,2-Sep-08,15,50,,
2,154000,2-Sep-08,16,0,,
2,154000,2-Sep-08,16,10,,
2,154000,2-Sep-08,16,20,,
2,154000,2-Sep-08,16,30,,
2,154000,2-Sep-08,16,40,,
2,154000,2-Sep-08,16,50,,
2,154000,2-Sep-08,17,0,,
2,154000,2-Sep-08,17,10,,
2,154000,2-Sep-08,17,20,,
2,154000,2-Sep-08,17,30,,
2,154000,2-Sep-08,17,40,,
2,154000,2-Sep-08,17,50,,
2,154000,2-Sep-08,18,0,,
2,154000,2-Sep-08,18,10,,
2,154000,2-Sep-08,18,20,,
2,154000,2-Sep-08,18,30,,
2,154000,2-Sep-08,18,40,,
2,154000,2-Sep-08,18,50,,
2,154000,2-Sep-08,19,0,,
2,154000,2-Sep-08,19,10,,
2,154000,2-Sep-08,19,20,,
2,154000,2-Sep-08,19,30,,
2,154000,2-Sep-08,19,40,,
2,154000,2-Sep-08,19,50,,
2,154000,2-Sep-08,20,0,,
2,154000,2-Sep-08,20,10,,
2,154000,2-Sep-08,20,20,,
2,154000,2-Sep-08,20,30,,
2,154000,2-Sep-08,20,40,,
2,154000,2-Sep-08,20,50,,
2,154000,2-Sep-08,21,0,,
2,154000,2-Sep-08,21,10,,
2,154000,2-Sep-08,21,20,,
2,154000,2-Sep-08,21,30,,
2,154000,2-Sep-08,21,40,,
2,154000,2-Sep-08,21,50,,
2,154000,2-Sep-08,22,0,,
2,154000,2-Sep-08,22,10,,
2,154000,2-Sep-08,22,20,,
2,154000,2-Sep-08,22,30,,
2,154000,2-Sep-08,22,40,,
2,154000,2-Sep-08,22,50,,
2,154000,2-Sep-08,23,0,,
2,154000,2-Sep-08,23,10,,
2,154000,2-Sep-08,23,20,,
2,154000,2-Sep-08,23,30,,
2,154000,2-Sep-08,23,40,,
2,154000,2-Sep-08,23,50,,
2,154000,3-Sep-08,0,0,,
,,,,,,
2,153950,1-Sep-08,0,0,,
2,153950,1-Sep-08,0,10,,
2,153950,1-Sep-08,0,20,,
2,153950,1-Sep-08,0,30,,
2,153950,1-Sep-08,0,40,,
2,153950,1-Sep-08,0,50,,
2,153950,1-Sep-08,1,0,65.04,65.04
2,153950,1-Sep-08,1,10,65.08,65.08
2,153950,1-Sep-08,1,20,65.12,65.12
2,153950,1-Sep-08,1,30,65.16,65.16
2,153950,1-Sep-08,1,40,65.21,65.21
2,153950,1-Sep-08,1,50,65.23,65.23
2,153950,1-Sep-08,2,0,65.23,65.23
2,153950,1-Sep-08,2,10,65.2,65.2
2,153950,1-Sep-08,2,20,65.17,65.17
2,153950,1-Sep-08,2,30,65.15,65.15
2,153950,1-Sep-08,2,40,65.14,65.14
2,153950,1-Sep-08,2,50,65.13,65.13
2,153950,1-Sep-08,3,0,65.12,65.12
2,153950,1-Sep-08,3,10,65.08,65.08
2,153950,1-Sep-08,3,20,65.02,65.02
2,153950,1-Sep-08,3,30,,
2,153950,1-Sep-08,3,40,,
2,153950,1-Sep-08,3,50,,
2,153950,1-Sep-08,4,0,,
2,153950,1-Sep-08,4,10,,
2,153950,1-Sep-08,4,20,,
2,153950,1-Sep-08,4,30,,
2,153950,1-Sep-08,4,40,,
2,153950,1-Sep-08,4,50,,
2,153950,1-Sep-08,5,0,,
2,153950,1-Sep-08,5,10,,
2,153950,1-Sep-08,5,20,,
2,153950,1-Sep-08,5,30,,
2,153950,1-Sep-08,5,40,,
2,153950,1-Sep-08,5,50,,
2,153950,1-Sep-08,6,0,,
2,153950,1-Sep-08,6,10,,
2,153950,1-Sep-08,6,20,,
2,153950,1-Sep-08,6,30,,
2,153950,1-Sep-08,6,40,,
2,153950,1-Sep-08,6,50,,
2,153950,1-Sep-08,7,0,,
2,153950,1-Sep-08,7,10,,
2,153950,1-Sep-08,7,20,,
2,153950,1-Sep-08,7,30,,
2,153950,1-Sep-08,7,40,,
2,153950,1-Sep-08,7,50,,
2,153950,1-Sep-08,8,0,,
2,153950,1-Sep-08,8,10,,
2,153950,1-Sep-08,8,20,,
2,153950,1-Sep-08,8,30,,
2,153950,1-Sep-08,8,40,,
2,153950,1-Sep-08,8,50,,
2,153950,1-Sep-08,9,0,,
2,153950,1-Sep-08,9,10,,
2,153950,1-Sep-08,9,20,,
2,153950,1-Sep-08,9,30,,
2,153950,1-Sep-08,9,40,,
2,153950,1-Sep-08,9,50,,
2,153950,1-Sep-08,10,0,,
2,153950,1-Sep-08,10,10,,
2,153950,1-Sep-08,10,20,,
2,153950,1-Sep-08,10,30,,
2,153950,1-Sep-08,10,40,,
2,153950,1-Sep-08,10,50,,
2,153950,1-Sep-08,11,0,,
2,153950,1-Sep-08,11,10,,
2,153950,1-Sep-08,11,20,,
2,153950,1-Sep-08,11,30,,
2,153950,1-Sep-08,11,40,,
2,153950,1-Sep-08,11,50,,
2,153950,1-Sep-08,12,0,,
2,153950,1-Sep-08,12,10,,
2,153950,1-Sep-08,12,20,,
2,153950,1-Sep-08,12,30,,
2,153950,1-Sep-08,12,40,,
2,153950,1-Sep-08,12,50,,
2,153950,1-Sep-08,13,0,,
2,153950,1-Sep-08,13,10,,
2,153950,1-Sep-08,13,20,,
2,153950,1-Sep-08,13,30,,
2,153950,1-Sep-08,13,40,,
2,153950,1-Sep-08,13,50,,
2,153950,1-Sep-08,14,0,,
2,153950,1-Sep-08,14,10,,
2,153950,1-Sep-08,14,20,,
2,153950,1-Sep-08,14,30,,
2,153950,1-Sep-08,14,40,,
2,153950,1-Sep-08,14,50,,
2,153950,1-Sep-08,15,0,,
2,153950,1-Sep-08,15,10,,
2,153950,1-Sep-08,15,20,,
2,153950,1-Sep-08,15,30,,
2,153950,1-Sep-08,15,40,,
2,153950,1-Sep-08,15,50,,
2,153950,1-Sep-08,16,0,,
2,153950,1-Sep-08,16,10,,
2,153950,1-Sep-08,16,20,,
2,153950,1-Sep-08,16,30,,
2,153950,1-Sep-08,16,40,,
2,153950,1-Sep-08,16,50,,
2,153950,1-Sep-08,17,0,,
2,153950,1-Sep-08,17,10,,
2,153950,1-Sep-08,17,20,,
2,153950,1-Sep-08,17,30,,
2,153950,1-Sep-08,17,40,,
2,153950,1-Sep-08,17,50,,
2,153950,1-Sep-08,18,0,,
2,153950,1-Sep-08,18,10,,
2,153950,1-Sep-08,18,20,,
2,153950,1-Sep-08,18,30,,
2,153950,1-Sep-08,18,40,,
2,153950,1-Sep-08,18,50,,
2,153950,1-Sep-08,19,0,,
2,153950,1-Sep-08,19,10,,
2,153950,1-Sep-08,19,20,,
2,153950,1-Sep-08,19,30,,
2,153950,1-Sep-08,19,40,,
2,153950,1-Sep-08,19,50,,
2,153950,1-Sep-08,20,0,,
2,153950,1-Sep-08,20,10,,
2,153950,1-Sep-08,20,20,,
2,153950,1-Sep-08,20,30,,
2,153950,1-Sep-08,20,40,,
2,153950,1-Sep-08,20,50,,
2,153950,1-Sep-08,21,0,,
2,153950,1-Sep-08,21,10,,
2,153950,1-Sep-08,21,20,,
2,153950,1-Sep-08,21,30,,
2,153950,1-Sep-08,21,40,,
2,153950,1-Sep-08,21,50,,
2,153950,1-Sep-08,22,0,,
2,153950,1-Sep-08,22,10,,
2,153950,1-Sep-08,22,20,,
2,153950,1-Sep-08,22,30,,
2,153950,1-Sep-08,22,40,,
2,153950,1-Sep-08,22,50,,
2,153950,1-Sep-08,23,0,,
2,153950,1-Sep-08,23,10,,
2,153950,1-Sep-08,23,20,,
2,153950,1-Sep-08,23,30,,
2,153950,1-Sep-08,23,40,,
2,153950,1-Sep-08,23,50,,
2,153950,2-Sep-08,0,0,,
2,153950,2-Sep-08,0,10,,
2,153950,2-Sep-08,0,20,,
2,153950,2-Sep-08,0,30,,
2,153950,2-Sep-08,0,40,,
2,153950,2-Sep-08,0,50,,
2,153950,2-Sep-08,1,0,,
2,153950,2-Sep-08,1,10,,
2,153950,2-Sep-08,1,20,,
2,153950,2-Sep-08,1,30,,
2,153950,2-Sep-08,1,40,,
2,153950,2-Sep-08,1,50,,
2,153950,2-Sep-08,2,0,,
2,153950,2-Sep-08,2,10,,
2,153950,2-Sep-08,2,20,,
2,153950,2-Sep-08,2,30,,
2,153950,2-Sep-08,2,40,,
2,153950,2-Sep-08,2,50,,
2,153950,2-Sep-08,3,0,,
2,153950,2-Sep-08,3,10,,
2,153950,2-Sep-08,3,20,,
2,153950,2-Sep-08,3,30,,
2,153950,2-Sep-08,3,40,,
2,153950,2-Sep-08,3,50,,
2,153950,2-Sep-08,4,0,,
2,153950,2-Sep-08,4,10,,
2,153950,2-Sep-08,4,20,,
2,153950,2-Sep-08,4,30,,
2,153950,2-Sep-08,4,40,,
2,153950,2-Sep-08,4,50,,
2,153950,2-Sep-08,5,0,,
2,153950,2-Sep-08,5,10,,
2,153950,2-Sep-08,5,20,,
2,153950,2-Sep-08,5,30,,
2,153950,2-Sep-08,5,40,,
2,153950,2-Sep-08,5,50,,
2,153950,2-Sep-08,6,0,,
2,153950,2-Sep-08,6,10,,
2,153950,2-Sep-08,6,20,,
2,153950,2-Sep-08,6,30,,
2,153950,2-Sep-08,6,40,,
2,153950,2-Sep-08,6,50,,
2,153950,2-Sep-08,7,0,,
2,153950,2-Sep-08,7,10,,
2,153950,2-Sep-08,7,20,,
2,153950,2-Sep-08,7,30,,
2,153950,2-Sep-08,7,40,,
2,153950,2-Sep-08,7,50,,
2,153950,2-Sep-08,8,0,,
2,153950,2-Sep-08,8,10,,
2,153950,2-Sep-08,8,20,,
2,153950,2-Sep-08,8,30,,
2,153950,2-Sep-08,8,40,,
2,153950,2-Sep-08,8,50,,
2,153950,2-Sep-08,9,0,,
2,153950,2-Sep-08,9,10,,
2,153950,2-Sep-08,9,20,,
2,153950,2-Sep-08,9,30,,
2,153950,2-Sep-08,9,40,,
2,153950,2-Sep-08,9,50,,
2,153950,2-Sep-08,10,0,,
2,153950,2-Sep-08,10,10,,
2,153950,2-Sep-08,10,20,,
2,153950,2-Sep-08,10,30,,
2,153950,2-Sep-08,10,40,,
2,153950,2-Sep-08,10,50,,
2,153950,2-Sep-08,11,0,,
2,153950,2-Sep-08,11,10,,
2,153950,2-Sep-08,11,20,,
2,153950,2-Sep-08,11,30,,
2,153950,2-Sep-08,11,40,,
2,153950,2-Sep-08,11,50,,
2,153950,2-Sep-08,12,0,,
2,153950,2-Sep-08,12,10,,
2,153950,2-Sep-08,12,20,,
2,153950,2-Sep-08,12,30,,
2,153950,2-Sep-08,12,40,,
2,153950,2-Sep-08,12,50,,
2,153950,2-Sep-08,13,0,,
2,153950,2-Sep-08,13,10,,
2,153950,2-Sep-08,13,20,,
2,153950,2-Sep-08,13,30,,
2,153950,2-Sep-08,13,40,,
2,153950,2-Sep-08,13,50,,
2,153950,2-Sep-08,14,0,,
2,153950,2-Sep-08,14,10,,
2,153950,2-Sep-08,14,20,,
2,153950,2-Sep-08,14,30,,
2,153950,2-Sep-08,14,40,,
2,153950,2-Sep-08,14,50,,
2,153950,2-Sep-08,15,0,,
2,153950,2-Sep-08,15,10,,
2,153950,2-Sep-08,15,20,,
2,153950,2-Sep-08,15,30,,
2,153950,2-Sep-08,15,40,,
2,153950,2-Sep-08,15,50,,
2,153950,2-Sep-08,16,0,,
2,153950,2-Sep-08,16,10,,
2,153950,2-Sep-08,16,20,,
2,153950,2-Sep-08,16,30,,
2,153950,2-Sep-08,16,40,,
2,153950,2-Sep-08,16,50,,
2,153950,2-Sep-08,17,0,,
2,153950,2-Sep-08,17,10,,
2,153950,2-Sep-08,17,20,,
2,153950,2-Sep-08,17,30,,
2,153950,2-Sep-08,17,40,,
2,153950,2-Sep-08,17,50,,
2,153950,2-Sep-08,18,0,,
2,153950,2-Sep-08,18,10,,
2,153950,2-Sep-08,18,20,,
2,153950,2-Sep-08,18,30,,
2,153950,2-Sep-08,18,40,,
2,153950,2-Sep-08,18,50,,
2,153950,2-Sep-08,19,0,,
2,153950,2-Sep-08,19,10,,
2,153950,2-Sep-08,19,20,,
2,153950,2-Sep-08,19,30,,
2,153950,2-Sep-08,19,40,,
2,153950,2-Sep-08,19,50,,
2,153950,2-Sep-08,20,0,,
2,153950,2-Sep-08,20,10,,
2,153950,2-Sep-08,20,20,,
2,153950,2-Sep-08,20,30,,
2,153950,2-Sep-08,20,40,,
2,153950,2-Sep-08,20,50,,
2,153950,2-Sep-08,21,0,,
2,153950,2-Sep-08,21,10,,
2,153950,2-Sep-08,21,20,,
2,153950,2-Sep-08,21,30,,
2,153950,2-Sep-08,21,40,,
2,153950,2-Sep-08,21,50,,
2,153950,2-Sep-08,22,0,,
2,153950,2-Sep-08,22,10,,
2,153950,2-Sep-08,22,20,,
2,153950,2-Sep-08,22,30,,
2,153950,2-Sep-08,22,40,,
2,153950,2-Sep-08,22,50,,
2,153950,2-Sep-08,23,0,,
2,153950,2-Sep-08,23,10,,
2,153950,2-Sep-08,23,20,,
2,153950,2-Sep-08,23,30,,
2,153950,2-Sep-08,23,40,,
2,153950,2-Sep-08,23,50,,
2,153950,3-Sep-08,0,0,,
,,,,,,
2,153900,1-Sep-08,0,0,,
2,153900,1-Sep-08,0,10,,
2,153900,1-Sep-08,0,20,,
2,153900,1-Sep-08,0,30,,
2,153900,1-Sep-08,0,40,,
2,153900,1-Sep-08,0,50,,
2,153900,1-Sep-08,1,0,65.05,65.05
2,153900,1-Sep-08,1,10,65.09,65.09
2,153900,1-Sep-08,1,20,65.13,65.13
2,153900,1-Sep-08,1,30,65.17,65.17
2,153900,1-Sep-08,1,40,65.21,65.21
2,153900,1-Sep-08,1,50,65.24,65.24
2,153900,1-Sep-08,2,0,65.24,65.24
2,153900,1-Sep-08,2,10,65.21,65.21
2,153900,1-Sep-08,2,20,65.18,65.18
2,153900,1-Sep-08,2,30,65.16,65.16
2,153900,1-Sep-08,2,40,65.15,65.15
2,153900,1-Sep-08,2,50,65.14,65.14
2,153900,1-Sep-08,3,0,65.13,65.13
2,153900,1-Sep-08,3,10,65.1,65.1
2,153900,1-Sep-08,3,20,65.03,65.03
2,153900,1-Sep-08,3,30,,
2,153900,1-Sep-08,3,40,,
2,153900,1-Sep-08,3,50,,
2,153900,1-Sep-08,4,0,,
2,153900,1-Sep-08,4,10,,
2,153900,1-Sep-08,4,20,,
2,153900,1-Sep-08,4,30,,
2,153900,1-Sep-08,4,40,,
2,153900,1-Sep-08,4,50,,
2,153900,1-Sep-08,5,0,,
2,153900,1-Sep-08,5,10,,
2,153900,1-Sep-08,5,20,,
2,153900,1-Sep-08,5,30,,
2,153900,1-Sep-08,5,40,,
2,153900,1-Sep-08,5,50,,
2,153900,1-Sep-08,6,0,,
2,153900,1-Sep-08,6,10,,
2,153900,1-Sep-08,6,20,,
2,153900,1-Sep-08,6,30,,
2,153900,1-Sep-08,6,40,,
2,153900,1-Sep-08,6,50,,
2,153900,1-Sep-08,7,0,,
2,153900,1-Sep-08,7,10,,
2,153900,1-Sep-08,7,20,,
2,153900,1-Sep-08,7,30,,
