reach,STA,profile,hr,min,RtopW_ft,LtopW_ft
1,165400,2-Sep-08,0,40,,
1,165400,2-Sep-08,0,50,,
1,165400,2-Sep-08,1,0,,
1,165400,2-Sep-08,1,10,,
1,165400,2-Sep-08,1,20,,
1,165400,2-Sep-08,1,30,,
1,165400,2-Sep-08,1,40,,
1,165400,2-Sep-08,1,50,,
1,165400,2-Sep-08,2,0,,
1,165400,2-Sep-08,2,10,,
1,165400,2-Sep-08,2,20,,
1,165400,2-Sep-08,2,30,,
1,165400,2-Sep-08,2,40,,
1,165400,2-Sep-08,2,50,,
1,165400,2-Sep-08,3,0,,
1,165400,2-Sep-08,3,10,,
1,165400,2-Sep-08,3,20,,
1,165400,2-Sep-08,3,30,,
1,165400,2-Sep-08,3,40,,
1,165400,2-Sep-08,3,50,,
1,165400,2-Sep-08,4,0,,
1,165400,2-Sep-08,4,10,,
1,165400,2-Sep-08,4,20,,
1,165400,2-Sep-08,4,30,,
1,165400,2-Sep-08,4,40,,
1,165400,2-Sep-08,4,50,,
1,165400,2-Sep-08,5,0,,
1,165400,2-Sep-08,5,10,,
1,165400,2-Sep-08,5,20,,
1,165400,2-Sep-08,5,30,,
1,165400,2-Sep-08,5,40,,
1,165400,2-Sep-08,5,50,,
1,165400,2-Sep-08,6,0,,
1,165400,2-Sep-08,6,10,,
1,165400,2-Sep-08,6,20,,
1,165400,2-Sep-08,6,30,,
1,165400,2-Sep-08,6,40,,
1,165400,2-Sep-08,6,50,,
1,165400,2-Sep-08,7,0,,
1,165400,2-Sep-08,7,10,,
1,165400,2-Sep-08,7,20,,
1,165400,2-Sep-08,7,30,,
1,165400,2-Sep-08,7,40,,
1,165400,2-Sep-08,7,50,,
1,165400,2-Sep-08,8,0,,
1,165400,2-Sep-08,8,10,,
1,165400,2-Sep-08,8,20,,
1,165400,2-Sep-08,8,30,,
1,165400,2-Sep-08,8,40,,
1,165400,2-Sep-08,8,50,,
1,165400,2-Sep-08,9,0,,
1,165400,2-Sep-08,9,10,,
1,165400,2-Sep-08,9,20,,
1,165400,2-Sep-08,9,30,,
1,165400,2-Sep-08,9,40,,
1,165400,2-Sep-08,9,50,,
1,165400,2-Sep-08,10,0,,
1,165400,2-Sep-08,10,10,,
1,165400,2-Sep-08,10,20,,
1,165400,2-Sep-08,10,30,,
1,165400,2-Sep-08,10,40,,
1,165400,2-Sep-08,10,50,,
1,165400,2-Sep-08,11,0,,
1,165400,2-Sep-08,11,10,,
1,165400,2-Sep-08,11,20,,
1,165400,2-Sep-08,11,30,,
1,165400,2-Sep-08,11,40,,
1,165400,2-Sep-08,11,50,,
1,165400,2-Sep-08,12,0,,
1,165400,2-Sep-08,12,10,,
1,165400,2-Sep-08,12,20,,
1,165400,2-Sep-08,12,30,,
1,165400,2-Sep-08,12,40,,
1,165400,2-Sep-08,12,50,,
1,165400,2-Sep-08,13,0,,
1,165400,2-Sep-08,13,10,,
1,165400,2-Sep-08,13,20,,
1,165400,2-Sep-08,13,30,,
1,165400,2-Sep-08,13,40,,
1,165400,2-Sep-08,13,50,,
1,165400,2-Sep-08,14,0,,
1,165400,2-Sep-08,14,10,,
1,165400,2-Sep-08,14,20,,
1,165400,2-Sep-08,14,30,,
1,165400,2-Sep-08,14,40,,
1,165400,2-Sep-08,14,50,,
1,165400,2-Sep-08,15,0,,
1,165400,2-Sep-08,15,10,,
1,165400,2-Sep-08,15,20,,
1,165400,2-Sep-08,15,30,,
1,165400,2-Sep-08,15,40,,
1,165400,2-Sep-08,15,50,,
1,165400,2-Sep-08,16,0,,
1,165400,2-Sep-08,16,10,,
1,165400,2-Sep-08,16,20,,
1,165400,2-Sep-08,16,30,,
1,165400,2-Sep-08,16,40,,
1,165400,2-Sep-08,16,50,,
1,165400,2-Sep-08,17,0,,
1,165400,2-Sep-08,17,10,,
1,165400,2-Sep-08,17,20,,
1,165400,2-Sep-08,17,30,,
1,165400,2-Sep-08,17,40,,
1,165400,2-Sep-08,17,50,,
1,165400,2-Sep-08,18,0,,
1,165400,2-Sep-08,18,10,,
1,165400,2-Sep-08,18,20,,
1,165400,2-Sep-08,18,30,,
1,165400,2-Sep-08,18,40,,
1,165400,2-Sep-08,18,50,,
1,165400,2-Sep-08,19,0,,
1,165400,2-Sep-08,19,10,,
1,165400,2-Sep-08,19,20,,
1,165400,2-Sep-08,19,30,,
1,165400,2-Sep-08,19,40,,
1,165400,2-Sep-08,19,50,,
1,165400,2-Sep-08,20,0,,
1,165400,2-Sep-08,20,10,,
1,165400,2-Sep-08,20,20,,
1,165400,2-Sep-08,20,30,,
1,165400,2-Sep-08,20,40,,
1,165400,2-Sep-08,20,50,,
1,165400,2-Sep-08,21,0,,
1,165400,2-Sep-08,21,10,,
1,165400,2-Sep-08,21,20,,
1,165400,2-Sep-08,21,30,,
1,165400,2-Sep-08,21,40,,
1,165400,2-Sep-08,21,50,,
1,165400,2-Sep-08,22,0,,
1,165400,2-Sep-08,22,10,,
1,165400,2-Sep-08,22,20,,
1,165400,2-Sep-08,22,30,,
1,165400,2-Sep-08,22,40,,
1,165400,2-Sep-08,22,50,,
1,165400,2-Sep-08,23,0,,
1,165400,2-Sep-08,23,10,,
1,165400,2-Sep-08,23,20,,
1,165400,2-Sep-08,23,30,,
1,165400,2-Sep-08,23,40,,
1,165400,2-Sep-08,23,50,,
1,165400,3-Sep-08,0,0,,
,,,,,,
1,165350,1-Sep-08,0,0,,
1,165350,1-Sep-08,0,10,,
1,165350,1-Sep-08,0,20,,
1,165350,1-Sep-08,0,30,,
1,165350,1-Sep-08,0,40,,
1,165350,1-Sep-08,0,50,,
1,165350,1-Sep-08,1,0,,
1,165350,1-Sep-08,1,10,,
1,165350,1-Sep-08,1,20,,
1,165350,1-Sep-08,1,30,,
1,165350,1-Sep-08,1,40,,
1,165350,1-Sep-08,1,50,,
1,165350,1-Sep-08,2,0,,
1,165350,1-Sep-08,2,10,,
1,165350,1-Sep-08,2,20,,
1,165350,1-Sep-08,2,30,,
1,165350,1-Sep-08,2,40,,
1,165350,1-Sep-08,2,50,,
1,165350,1-Sep-08,3,0,,
1,165350,1-Sep-08,3,10,,
1,165350,1-Sep-08,3,20,,
1,165350,1-Sep-08,3,30,,
1,165350,1-Sep-08,3,40,,
1,165350,1-Sep-08,3,50,,
1,165350,1-Sep-08,4,0,,
1,165350,1-Sep-08,4,10,,
1,165350,1-Sep-08,4,20,,
1,165350,1-Sep-08,4,30,,
1,165350,1-Sep-08,4,40,,
1,165350,1-Sep-08,4,50,,
1,165350,1-Sep-08,5,0,,
1,165350,1-Sep-08,5,10,,
1,165350,1-Sep-08,5,20,,
1,165350,1-Sep-08,5,30,,
1,165350,1-Sep-08,5,40,,
1,165350,1-Sep-08,5,50,,
1,165350,1-Sep-08,6,0,,
1,165350,1-Sep-08,6,10,,
1,165350,1-Sep-08,6,20,,
1,165350,1-Sep-08,6,30,,
1,165350,1-Sep-08,6,40,,
1,165350,1-Sep-08,6,50,,
1,165350,1-Sep-08,7,0,,
1,165350,1-Sep-08,7,10,,
1,165350,1-Sep-08,7,20,,
1,165350,1-Sep-08,7,30,,
1,165350,1-Sep-08,7,40,,
1,165350,1-Sep-08,7,50,,
1,165350,1-Sep-08,8,0,,
1,165350,1-Sep-08,8,10,,
1,165350,1-Sep-08,8,20,,
1,165350,1-Sep-08,8,30,,
1,165350,1-Sep-08,8,40,,
1,165350,1-Sep-08,8,50,,
1,165350,1-Sep-08,9,0,,
1,165350,1-Sep-08,9,10,,
1,165350,1-Sep-08,9,20,,
1,165350,1-Sep-08,9,30,,
1,165350,1-Sep-08,9,40,,
1,165350,1-Sep-08,9,50,,
1,165350,1-Sep-08,10,0,,
1,165350,1-Sep-08,10,10,,
1,165350,1-Sep-08,10,20,,
1,165350,1-Sep-08,10,30,,
1,165350,1-Sep-08,10,40,,
1,165350,1-Sep-08,10,50,,
1,165350,1-Sep-08,11,0,,
1,165350,1-Sep-08,11,10,,
1,165350,1-Sep-08,11,20,,
1,165350,1-Sep-08,11,30,,
1,165350,1-Sep-08,11,40,,
1,165350,1-Sep-08,11,50,,
1,165350,1-Sep-08,12,0,,
1,165350,1-Sep-08,12,10,,
1,165350,1-Sep-08,12,20,,
1,165350,1-Sep-08,12,30,,
1,165350,1-Sep-08,12,40,,
1,165350,1-Sep-08,12,50,,
1,165350,1-Sep-08,13,0,,
1,165350,1-Sep-08,13,10,,
1,165350,1-Sep-08,13,20,,
1,165350,1-Sep-08,13,30,,
1,165350,1-Sep-08,13,40,,
1,165350,1-Sep-08,13,50,,
1,165350,1-Sep-08,14,0,,
1,165350,1-Sep-08,14,10,,
1,165350,1-Sep-08,14,20,,
1,165350,1-Sep-08,14,30,,
1,165350,1-Sep-08,14,40,,
1,165350,1-Sep-08,14,50,,
1,165350,1-Sep-08,15,0,,
1,165350,1-Sep-08,15,10,,
1,165350,1-Sep-08,15,20,,
1,165350,1-Sep-08,15,30,,
1,165350,1-Sep-08,15,40,,
1,165350,1-Sep-08,15,50,,
1,165350,1-Sep-08,16,0,,
1,165350,1-Sep-08,16,10,,
1,165350,1-Sep-08,16,20,,
1,165350,1-Sep-08,16,30,,
1,165350,1-Sep-08,16,40,,
1,165350,1-Sep-08,16,50,,
1,165350,1-Sep-08,17,0,,
1,165350,1-Sep-08,17,10,,
1,165350,1-Sep-08,17,20,,
1,165350,1-Sep-08,17,30,,
1,165350,1-Sep-08,17,40,,
1,165350,1-Sep-08,17,50,,
1,165350,1-Sep-08,18,0,,
1,165350,1-Sep-08,18,10,,
1,165350,1-Sep-08,18,20,,
1,165350,1-Sep-08,18,30,,
1,165350,1-Sep-08,18,40,,
1,165350,1-Sep-08,18,50,,
1,165350,1-Sep-08,19,0,,
1,165350,1-Sep-08,19,10,,
1,165350,1-Sep-08,19,20,,
1,165350,1-Sep-08,19,30,,
1,165350,1-Sep-08,19,40,,
1,165350,1-Sep-08,19,50,,
1,165350,1-Sep-08,20,0,,
1,165350,1-Sep-08,20,10,,
1,165350,1-Sep-08,20,20,,
1,165350,1-Sep-08,20,30,,
1,165350,1-Sep-08,20,40,,
1,165350,1-Sep-08,20,50,,
1,165350,1-Sep-08,21,0,,
1,165350,1-Sep-08,21,10,,
1,165350,1-Sep-08,21,20,,
1,165350,1-Sep-08,21,30,,
1,165350,1-Sep-08,21,40,,
1,165350,1-Sep-08,21,50,,
1,165350,1-Sep-08,22,0,,
1,165350,1-Sep-08,22,10,,
1,165350,1-Sep-08,22,20,,
1,165350,1-Sep-08,22,30,,
1,165350,1-Sep-08,22,40,,
1,165350,1-Sep-08,22,50,,
1,165350,1-Sep-08,23,0,,
1,165350,1-Sep-08,23,10,,
1,165350,1-Sep-08,23,20,,
1,165350,1-Sep-08,23,30,,
1,165350,1-Sep-08,23,40,,
1,165350,1-Sep-08,23,50,,
1,165350,2-Sep-08,0,0,,
1,165350,2-Sep-08,0,10,,
1,165350,2-Sep-08,0,20,,
1,165350,2-Sep-08,0,30,,
1,165350,2-Sep-08,0,40,,
1,165350,2-Sep-08,0,50,,
1,165350,2-Sep-08,1,0,,
1,165350,2-Sep-08,1,10,,
1,165350,2-Sep-08,1,20,,
1,165350,2-Sep-08,1,30,,
1,165350,2-Sep-08,1,40,,
1,165350,2-Sep-08,1,50,,
1,165350,2-Sep-08,2,0,,
1,165350,2-Sep-08,2,10,,
1,165350,2-Sep-08,2,20,,
1,165350,2-Sep-08,2,30,,
1,165350,2-Sep-08,2,40,,
1,165350,2-Sep-08,2,50,,
1,165350,2-Sep-08,3,0,,
1,165350,2-Sep-08,3,10,,
1,165350,2-Sep-08,3,20,,
1,165350,2-Sep-08,3,30,,
1,165350,2-Sep-08,3,40,,
1,165350,2-Sep-08,3,50,,
1,165350,2-Sep-08,4,0,,
1,165350,2-Sep-08,4,10,,
1,165350,2-Sep-08,4,20,,
1,165350,2-Sep-08,4,30,,
1,165350,2-Sep-08,4,40,,
1,165350,2-Sep-08,4,50,,
1,165350,2-Sep-08,5,0,,
1,165350,2-Sep-08,5,10,,
1,165350,2-Sep-08,5,20,,
1,165350,2-Sep-08,5,30,,
1,165350,2-Sep-08,5,40,,
1,165350,2-Sep-08,5,50,,
1,165350,2-Sep-08,6,0,,
1,165350,2-Sep-08,6,10,,
1,165350,2-Sep-08,6,20,,
1,165350,2-Sep-08,6,30,,
1,165350,2-Sep-08,6,40,,
1,165350,2-Sep-08,6,50,,
1,165350,2-Sep-08,7,0,,
1,165350,2-Sep-08,7,10,,
1,165350,2-Sep-08,7,20,,
1,165350,2-Sep-08,7,30,,
1,165350,2-Sep-08,7,40,,
1,165350,2-Sep-08,7,50,,
1,165350,2-Sep-08,8,0,,
1,165350,2-Sep-08,8,10,,
1,165350,2-Sep-08,8,20,,
1,165350,2-Sep-08,8,30,,
1,165350,2-Sep-08,8,40,,
1,165350,2-Sep-08,8,50,,
1,165350,2-Sep-08,9,0,,
1,165350,2-Sep-08,9,10,,
1,165350,2-Sep-08,9,20,,
1,165350,2-Sep-08,9,30,,
1,165350,2-Sep-08,9,40,,
1,165350,2-Sep-08,9,50,,
1,165350,2-Sep-08,10,0,,
1,165350,2-Sep-08,10,10,,
1,165350,2-Sep-08,10,20,,
1,165350,2-Sep-08,10,30,,
1,165350,2-Sep-08,10,40,,
1,165350,2-Sep-08,10,50,,
1,165350,2-Sep-08,11,0,,
1,165350,2-Sep-08,11,10,,
1,165350,2-Sep-08,11,20,,
1,165350,2-Sep-08,11,30,,
1,165350,2-Sep-08,11,40,,
1,165350,2-Sep-08,11,50,,
1,165350,2-Sep-08,12,0,,
1,165350,2-Sep-08,12,10,,
1,165350,2-Sep-08,12,20,,
1,165350,2-Sep-08,12,30,,
1,165350,2-Sep-08,12,40,,
1,165350,2-Sep-08,12,50,,
1,165350,2-Sep-08,13,0,,
1,165350,2-Sep-08,13,10,,
1,165350,2-Sep-08,13,20,,
1,165350,2-Sep-08,13,30,,
1,165350,2-Sep-08,13,40,,
1,165350,2-Sep-08,13,50,,
1,165350,2-Sep-08,14,0,,
1,165350,2-Sep-08,14,10,,
1,165350,2-Sep-08,14,20,,
1,165350,2-Sep-08,14,30,,
1,165350,2-Sep-08,14,40,,
1,165350,2-Sep-08,14,50,,
1,165350,2-Sep-08,15,0,,
1,165350,2-Sep-08,15,10,,
1,165350,2-Sep-08,15,20,,
1,165350,2-Sep-08,15,30,,
1,165350,2-Sep-08,15,40,,
1,165350,2-Sep-08,15,50,,
1,165350,2-Sep-08,16,0,,
1,165350,2-Sep-08,16,10,,
1,165350,2-Sep-08,16,20,,
1,165350,2-Sep-08,16,30,,
1,165350,2-Sep-08,16,40,,
1,165350,2-Sep-08,16,50,,
1,165350,2-Sep-08,17,0,,
1,165350,2-Sep-08,17,10,,
1,165350,2-Sep-08,17,20,,
1,165350,2-Sep-08,17,30,,
1,165350,2-Sep-08,17,40,,
1,165350,2-Sep-08,17,50,,
1,165350,2-Sep-08,18,0,,
1,165350,2-Sep-08,18,10,,
1,165350,2-Sep-08,18,20,,
1,165350,2-Sep-08,18,30,,
1,165350,2-Sep-08,18,40,,
1,165350,2-Sep-08,18,50,,
1,165350,2-Sep-08,19,0,,
1,165350,2-Sep-08,19,10,,
1,165350,2-Sep-08,19,20,,
1,165350,2-Sep-08,19,30,,
1,165350,2-Sep-08,19,40,,
1,165350,2-Sep-08,19,50,,
1,165350,2-Sep-08,20,0,,
1,165350,2-Sep-08,20,10,,
1,165350,2-Sep-08,20,20,,
1,165350,2-Sep-08,20,30,,
1,165350,2-Sep-08,20,40,,
1,165350,2-Sep-08,20,50,,
1,165350,2-Sep-08,21,0,,
1,165350,2-Sep-08,21,10,,
1,165350,2-Sep-08,21,20,,
1,165350,2-Sep-08,21,30,,
1,165350,2-Sep-08,21,40,,
1,165350,2-Sep-08,21,50,,
1,165350,2-Sep-08,22,0,,
1,165350,2-Sep-08,22,10,,
1,165350,2-Sep-08,22,20,,
1,165350,2-Sep-08,22,30,,
1,165350,2-Sep-08,22,40,,
1,165350,2-Sep-08,22,50,,
1,165350,2-Sep-08,23,0,,
1,165350,2-Sep-08,23,10,,
1,165350,2-Sep-08,23,20,,
1,165350,2-Sep-08,23,30,,
1,165350,2-Sep-08,23,40,,
1,165350,2-Sep-08,23,50,,
1,165350,3-Sep-08,0,0,,
,,,,,,
1,165300,1-Sep-08,0,0,,
1,165300,1-Sep-08,0,10,,
1,165300,1-Sep-08,0,20,,
1,165300,1-Sep-08,0,30,,
1,165300,1-Sep-08,0,40,,
1,165300,1-Sep-08,0,50,,
1,165300,1-Sep-08,1,0,,
1,165300,1-Sep-08,1,10,,
1,165300,1-Sep-08,1,20,,
1,165300,1-Sep-08,1,30,,
1,165300,1-Sep-08,1,40,,
1,165300,1-Sep-08,1,50,,
1,165300,1-Sep-08,2,0,,
1,165300,1-Sep-08,2,10,,
1,165300,1-Sep-08,2,20,,
1,165300,1-Sep-08,2,30,,
1,165300,1-Sep-08,2,40,,
1,165300,1-Sep-08,2,50,,
1,165300,1-Sep-08,3,0,,
1,165300,1-Sep-08,3,10,,
1,165300,1-Sep-08,3,20,,
1,165300,1-Sep-08,3,30,,
1,165300,1-Sep-08,3,40,,
1,165300,1-Sep-08,3,50,,
1,165300,1-Sep-08,4,0,,
1,165300,1-Sep-08,4,10,,
1,165300,1-Sep-08,4,20,,
1,165300,1-Sep-08,4,30,,
1,165300,1-Sep-08,4,40,,
1,165300,1-Sep-08,4,50,,
1,165300,1-Sep-08,5,0,,
1,165300,1-Sep-08,5,10,,
1,165300,1-Sep-08,5,20,,
1,165300,1-Sep-08,5,30,,
1,165300,1-Sep-08,5,40,,
1,165300,1-Sep-08,5,50,,
1,165300,1-Sep-08,6,0,,
1,165300,1-Sep-08,6,10,,
1,165300,1-Sep-08,6,20,,
1,165300,1-Sep-08,6,30,,
1,165300,1-Sep-08,6,40,,
1,165300,1-Sep-08,6,50,,
1,165300,1-Sep-08,7,0,,
1,165300,1-Sep-08,7,10,,
1,165300,1-Sep-08,7,20,,
1,165300,1-Sep-08,7,30,,
1,165300,1-Sep-08,7,40,,
1,165300,1-Sep-08,7,50,,
1,165300,1-Sep-08,8,0,,
1,165300,1-Sep-08,8,10,,
1,165300,1-Sep-08,8,20,,
1,165300,1-Sep-08,8,30,,
1,165300,1-Sep-08,8,40,,
1,165300,1-Sep-08,8,50,,
1,165300,1-Sep-08,9,0,,
1,165300,1-Sep-08,9,10,,
1,165300,1-Sep-08,9,20,,
1,165300,1-Sep-08,9,30,,
1,165300,1-Sep-08,9,40,,
1,165300,1-Sep-08,9,50,,
1,165300,1-Sep-08,10,0,,
1,165300,1-Sep-08,10,10,,
1,165300,1-Sep-08,10,20,,
1,165300,1-Sep-08,10,30,,
1,165300,1-Sep-08,10,40,,
1,165300,1-Sep-08,10,50,,
1,165300,1-Sep-08,11,0,,
1,165300,1-Sep-08,11,10,,
1,165300,1-Sep-08,11,20,,
1,165300,1-Sep-08,11,30,,
1,165300,1-Sep-08,11,40,,
1,165300,1-Sep-08,11,50,,
1,165300,1-Sep-08,12,0,,
1,165300,1-Sep-08,12,10,,
1,165300,1-Sep-08,12,20,,
1,165300,1-Sep-08,12,30,,
1,165300,1-Sep-08,12,40,,
1,165300,1-Sep-08,12,50,,
1,165300,1-Sep-08,13,0,,
1,165300,1-Sep-08,13,10,,
1,165300,1-Sep-08,13,20,,
1,165300,1-Sep-08,13,30,,
1,165300,1-Sep-08,13,40,,
1,165300,1-Sep-08,13,50,,
1,165300,1-Sep-08,14,0,,
1,165300,1-Sep-08,14,10,,
1,165300,1-Sep-08,14,20,,
1,165300,1-Sep-08,14,30,,
1,165300,1-Sep-08,14,40,,
1,165300,1-Sep-08,14,50,,
1,165300,1-Sep-08,15,0,,
1,165300,1-Sep-08,15,10,,
1,165300,1-Sep-08,15,20,,
1,165300,1-Sep-08,15,30,,
1,165300,1-Sep-08,15,40,,
1,165300,1-Sep-08,15,50,,
1,165300,1-Sep-08,16,0,,
1,165300,1-Sep-08,16,10,,
1,165300,1-Sep-08,16,20,,
1,165300,1-Sep-08,16,30,,
1,165300,1-Sep-08,16,40,,
1,165300,1-Sep-08,16,50,,
1,165300,1-Sep-08,17,0,,
1,165300,1-Sep-08,17,10,,
1,165300,1-Sep-08,17,20,,
1,165300,1-Sep-08,17,30,,
1,165300,1-Sep-08,17,40,,
1,165300,1-Sep-08,17,50,,
1,165300,1-Sep-08,18,0,,
1,165300,1-Sep-08,18,10,,
1,165300,1-Sep-08,18,20,,
1,165300,1-Sep-08,18,30,,
1,165300,1-Sep-08,18,40,,
1,165300,1-Sep-08,18,50,,
1,165300,1-Sep-08,19,0,,
1,165300,1-Sep-08,19,10,,
1,165300,1-Sep-08,19,20,,
1,165300,1-Sep-08,19,30,,
1,165300,1-Sep-08,19,40,,
1,165300,1-Sep-08,19,50,,
1,165300,1-Sep-08,20,0,,
1,165300,1-Sep-08,20,10,,
1,165300,1-Sep-08,20,20,,
1,165300,1-Sep-08,20,30,,
1,165300,1-Sep-08,20,40,,
1,165300,1-Sep-08,20,50,,
1,165300,1-Sep-08,21,0,,
1,165300,1-Sep-08,21,10,,
1,165300,1-Sep-08,21,20,,
1,165300,1-Sep-08,21,30,,
1,165300,1-Sep-08,21,40,,
1,165300,1-Sep-08,21,50,,
1,165300,1-Sep-08,22,0,,
1,165300,1-Sep-08,22,10,,
1,165300,1-Sep-08,22,20,,
1,165300,1-Sep-08,22,30,,
1,165300,1-Sep-08,22,40,,
1,165300,1-Sep-08,22,50,,
1,165300,1-Sep-08,23,0,,
1,165300,1-Sep-08,23,10,,
1,165300,1-Sep-08,23,20,,
1,165300,1-Sep-08,23,30,,
1,165300,1-Sep-08,23,40,,
1,165300,1-Sep-08,23,50,,
1,165300,2-Sep-08,0,0,,
1,165300,2-Sep-08,0,10,,
1,165300,2-Sep-08,0,20,,
1,165300,2-Sep-08,0,30,,
1,165300,2-Sep-08,0,40,,
1,165300,2-Sep-08,0,50,,
1,165300,2-Sep-08,1,0,,
1,165300,2-Sep-08,1,10,,
1,165300,2-Sep-08,1,20,,
1,165300,2-Sep-08,1,30,,
1,165300,2-Sep-08,1,40,,
1,165300,2-Sep-08,1,50,,
1,165300,2-Sep-08,2,0,,
1,165300,2-Sep-08,2,10,,
1,165300,2-Sep-08,2,20,,
1,165300,2-Sep-08,2,30,,
1,165300,2-Sep-08,2,40,,
1,165300,2-Sep-08,2,50,,
1,165300,2-Sep-08,3,0,,
1,165300,2-Sep-08,3,10,,
1,165300,2-Sep-08,3,20,,
1,165300,2-Sep-08,3,30,,
1,165300,2-Sep-08,3,40,,
1,165300,2-Sep-08,3,50,,
1,165300,2-Sep-08,4,0,,
1,165300,2-Sep-08,4,10,,
1,165300,2-Sep-08,4,20,,
1,165300,2-Sep-08,4,30,,
1,165300,2-Sep-08,4,40,,
1,165300,2-Sep-08,4,50,,
1,165300,2-Sep-08,5,0,,
1,165300,2-Sep-08,5,10,,
1,165300,2-Sep-08,5,20,,
1,165300,2-Sep-08,5,30,,
1,165300,2-Sep-08,5,40,,
1,165300,2-Sep-08,5,50,,
1,165300,2-Sep-08,6,0,,
1,165300,2-Sep-08,6,10,,
1,165300,2-Sep-08,6,20,,
1,165300,2-Sep-08,6,30,,
1,165300,2-Sep-08,6,40,,
1,165300,2-Sep-08,6,50,,
1,165300,2-Sep-08,7,0,,
1,165300,2-Sep-08,7,10,,
1,165300,2-Sep-08,7,20,,
1,165300,2-Sep-08,7,30,,
1,165300,2-Sep-08,7,40,,
1,165300,2-Sep-08,7,50,,
1,165300,2-Sep-08,8,0,,
1,165300,2-Sep-08,8,10,,
1,165300,2-Sep-08,8,20,,
1,165300,2-Sep-08,8,30,,
1,165300,2-Sep-08,8,40,,
1,165300,2-Sep-08,8,50,,
1,165300,2-Sep-08,9,0,,
1,165300,2-Sep-08,9,10,,
1,165300,2-Sep-08,9,20,,
1,165300,2-Sep-08,9,30,,
1,165300,2-Sep-08,9,40,,
1,165300,2-Sep-08,9,50,,
1,165300,2-Sep-08,10,0,,
1,165300,2-Sep-08,10,10,,
1,165300,2-Sep-08,10,20,,
1,165300,2-Sep-08,10,30,,
1,165300,2-Sep-08,10,40,,
1,165300,2-Sep-08,10,50,,
1,165300,2-Sep-08,11,0,,
1,165300,2-Sep-08,11,10,,
1,165300,2-Sep-08,11,20,,
1,165300,2-Sep-08,11,30,,
1,165300,2-Sep-08,11,40,,
1,165300,2-Sep-08,11,50,,
1,165300,2-Sep-08,12,0,,
1,165300,2-Sep-08,12,10,,
1,165300,2-Sep-08,12,20,,
1,165300,2-Sep-08,12,30,,
1,165300,2-Sep-08,12,40,,
1,165300,2-Sep-08,12,50,,
1,165300,2-Sep-08,13,0,,
1,165300,2-Sep-08,13,10,,
1,165300,2-Sep-08,13,20,,
1,165300,2-Sep-08,13,30,,
1,165300,2-Sep-08,13,40,,
1,165300,2-Sep-08,13,50,,
1,165300,2-Sep-08,14,0,,
1,165300,2-Sep-08,14,10,,
1,165300,2-Sep-08,14,20,,
1,165300,2-Sep-08,14,30,,
1,165300,2-Sep-08,14,40,,
1,165300,2-Sep-08,14,50,,
1,165300,2-Sep-08,15,0,,
1,165300,2-Sep-08,15,10,,
1,165300,2-Sep-08,15,20,,
1,165300,2-Sep-08,15,30,,
1,165300,2-Sep-08,15,40,,
1,165300,2-Sep-08,15,50,,
1,165300,2-Sep-08,16,0,,
1,165300,2-Sep-08,16,10,,
1,165300,2-Sep-08,16,20,,
1,165300,2-Sep-08,16,30,,
1,165300,2-Sep-08,16,40,,
1,165300,2-Sep-08,16,50,,
1,165300,2-Sep-08,17,0,,
1,165300,2-Sep-08,17,10,,
1,165300,2-Sep-08,17,20,,
1,165300,2-Sep-08,17,30,,
1,165300,2-Sep-08,17,40,,
1,165300,2-Sep-08,17,50,,
1,165300,2-Sep-08,18,0,,
1,165300,2-Sep-08,18,10,,
1,165300,2-Sep-08,18,20,,
1,165300,2-Sep-08,18,30,,
1,165300,2-Sep-08,18,40,,
1,165300,2-Sep-08,18,50,,
1,165300,2-Sep-08,19,0,,
1,165300,2-Sep-08,19,10,,
1,165300,2-Sep-08,19,20,,
1,165300,2-Sep-08,19,30,,
1,165300,2-Sep-08,19,40,,
1,165300,2-Sep-08,19,50,,
1,165300,2-Sep-08,20,0,,
1,165300,2-Sep-08,20,10,,
1,165300,2-Sep-08,20,20,,
1,165300,2-Sep-08,20,30,,
1,165300,2-Sep-08,20,40,,
1,165300,2-Sep-08,20,50,,
1,165300,2-Sep-08,21,0,,
1,165300,2-Sep-08,21,10,,
1,165300,2-Sep-08,21,20,,
1,165300,2-Sep-08,21,30,,
1,165300,2-Sep-08,21,40,,
1,165300,2-Sep-08,21,50,,
1,165300,2-Sep-08,22,0,,
1,165300,2-Sep-08,22,10,,
1,165300,2-Sep-08,22,20,,
1,165300,2-Sep-08,22,30,,
1,165300,2-Sep-08,22,40,,
1,165300,2-Sep-08,22,50,,
1,165300,2-Sep-08,23,0,,
1,165300,2-Sep-08,23,10,,
1,165300,2-Sep-08,23,20,,
1,165300,2-Sep-08,23,30,,
1,165300,2-Sep-08,23,40,,
1,165300,2-Sep-08,23,50,,
1,165300,3-Sep-08,0,0,,
,,,,,,
1,165250,1-Sep-08,0,0,,
1,165250,1-Sep-08,0,10,,
1,165250,1-Sep-08,0,20,,
1,165250,1-Sep-08,0,30,,
1,165250,1-Sep-08,0,40,,
1,165250,1-Sep-08,0,50,,
1,165250,1-Sep-08,1,0,,
1,165250,1-Sep-08,1,10,,
1,165250,1-Sep-08,1,20,,
1,165250,1-Sep-08,1,30,,
1,165250,1-Sep-08,1,40,,
1,165250,1-Sep-08,1,50,,
1,165250,1-Sep-08,2,0,,
1,165250,1-Sep-08,2,10,,
1,165250,1-Sep-08,2,20,,
